MP_id,Formula,Phase,Decomposition Energy,Band Gap,Formation Energy per atom,Structure,A_Ion_rad,A_BP,A_MP,A_Density,A_At_wt,A_Elec_Aff,A_Ion_Energy,A_Heat_fusion,A_Heat_vap,A_Electronegativity,A_At_num,A_Period,B_Ion_rad,B_BP,B_MP,B_Density,B_At_wt,B_Elec_Aff,B_Ion_Energy,B_Heat_fusion,B_Heat_vap,B_Electronegativity,B_At_num,B_Period,X_Ion_rad,X_BP,X_MP,X_Density,X_At_wt,X_Elec_Aff,X_Ion_Energy,X_Heat_fusion,X_Heat_vap,X_Electronegativity,X_At_num,X_Period,A Site,B Site,X Site
mp-1206044,CrCoBr3,Hexagonal,1.120564787,0,-0.256159204,"Full Formula (Cr2 Co2 Br6)
Reduced Formula: CrCoBr3
abc   :   7.081979   7.081979   5.943138
angles:  90.000000  90.000000 119.999995
pbc   :       True       True       True
Sites (10)
  #  SP           a         b     c    magmom
---  ----  --------  --------  ----  --------
  0  Cr    0.333333  0.666667  0.75     4.298
  1  Cr    0.666667  0.333333  0.25     4.298
  2  Co    0         0         0       -2.273
  3  Co    0         0         0.5     -2.273
  4  Br    0.168775  0.33755   0.25    -0.136
  5  Br    0.831225  0.66245   0.75    -0.136
  6  Br    0.66245   0.831225  0.25    -0.136
  7  Br    0.33755   0.168775  0.75    -0.136
  8  Br    0.168775  0.831225  0.25    -0.136
  9  Br    0.831225  0.168775  0.75    -0.136",0.65,3143,1768,8.9,58.9332,70,758,16.19,373.3,1.88,27,4,0.62,2945,2130,7.19,51.996,64,652.8,20,339.5,1.66,24,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Co,Cr,Br
mp-28532,CrInBr3,Monoclinic,0.018226232,0,-1.023561835,"Full Formula (Cr4 In4 Br12)
Reduced Formula: CrInBr3
abc   :  15.155061   4.295885   9.532446
angles:  83.860886  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0.951534  0.231252  0.340235     3.637
  1  Cr    0.451534  0.768748  0.159765     3.637
  2  Cr    0.048466  0.768748  0.659765     3.637
  3  Cr    0.548466  0.231252  0.840235     3.637
  4  In    0.665044  0.757086  0.465019     0.008
  5  In    0.165044  0.242914  0.034981     0.008
  6  In    0.334956  0.242914  0.534981     0.008
  7  In    0.834956  0.757086  0.965019     0.008
  8  Br    0.69819   0.252202  0.726042    -0.018
  9  Br    0.19819   0.747798  0.773958    -0.018
 10  Br    0.30181   0.747798  0.273958    -0.018
 11  Br    0.80181   0.252202  0.226042    -0.018
 12  Br    0.400702  0.199926  0.970719    -0.026
 13  Br    0.900702  0.800074  0.529281    -0.026
 14  Br    0.599298  0.800074  0.029281    -0.026
 15  Br    0.099298  0.199926  0.470719    -0.026
 16  Br    0.492522  0.692464  0.674082    -0.002
 17  Br    0.992522  0.307536  0.825918    -0.002
 18  Br    0.507478  0.307536  0.325918    -0.002
 19  Br    0.007478  0.692464  0.174082    -0.002",0.8,2350,429.78,7.31,114.82,29,558.3,3.26,226.335,1.78,49,5,0.62,2945,2130,7.19,51.996,64,652.8,20,339.5,1.66,24,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,In,Cr,Br
mp-561920,CsAgF3,Tetragonal,-0.713706557,0,-2.066297088,"Full Formula (Cs2 Ag2 F6)
Reduced Formula: CsAgF3
abc   :   6.253492   6.253492   6.253493
angles:  91.295045 119.255156 119.255139
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0         0.75      0.75            -0
  1  Cs    0         0.25      0.25            -0
  2  Ag    0.5       0.5       0                0
  3  Ag    0.5       0         0.5              0
  4  F     0.030661  0.265331  0.765331         0
  5  F     0.5       0.234669  0.265331         0
  6  F     0.5       0.25      0.75             0
  7  F     0.969339  0.734669  0.234669         0
  8  F     0.5       0.765331  0.734669         0
  9  F     0.5       0.75      0.25             0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.15,2436,1235.08,10.5,107.868,125.7,731,11.3,250.63,1.93,47,5,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Cs,Ag,F
mp-1112987,CsAuBr3,Cubic,-1.635705974,0,-1.217964038,"Full Formula (Cs1 Au1 Br3)
Reduced Formula: CsAuBr3
abc   :   5.472540   5.472540   5.472540
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cs    0.5  0.5  0.5         0
  1  Au    0    0    0           0
  2  Br    0    0    0.5        -0
  3  Br    0.5  0    0          -0
  4  Br    0    0.5  0          -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.85,3130,1337.58,19.3,196.9665,222.74,890.1,12.36,324.43,2.54,79,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Cs,Au,Br
mp-569548,CsAuBr3,Tetragonal,-1.901004769,0.653,-1.271023797,"Full Formula (Cs2 Au2 Br6)
Reduced Formula: CsAuBr3
abc   :   7.810131   7.810132   7.958571
angles: 119.384907 119.384906  89.999992
pbc   :       True       True       True
Sites (10)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Cs     0.75       0.25       0.5              0
  1  Cs     0.25       0.75       0.5              0
  2  Au    -0         -0         -0                0
  3  Au     0.5        0.5       -0                0
  4  Br     0.286909   0.286909   0.573816        -0
  5  Br     0.774555   0.225445  -0               -0
  6  Br     0.713091   0.713091   0.426184        -0
  7  Br     0.225445   0.225445  -0               -0
  8  Br     0.225445   0.774555   0               -0
  9  Br     0.774555   0.774555   0               -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.85,3130,1337.58,19.3,196.9665,222.74,890.1,12.36,324.43,2.54,79,6,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Cs,Au,Br
mp-23026,CsAuCl3,Cubic,-0.322989548,0,-1.125408411,"Full Formula (Cs1 Au1 Cl3)
Reduced Formula: CsAuCl3
abc   :   5.206833   5.206833   5.206833
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cs    0.5  0.5  0.5        -0
  1  Au    0    0    0           0
  2  Cl    0    0    0.5         0
  3  Cl    0.5  0    0          -0
  4  Cl    0    0.5  0           0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.85,3130,1337.58,19.3,196.9665,222.74,890.1,12.36,324.43,2.54,79,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Cs,Au,Cl
mp-23484,CsAuCl3,Tetragonal,-0.676206268,0.8112,-1.196051755,"Full Formula (Cs2 Au2 Cl6)
Reduced Formula: CsAuCl3
abc   :   7.464989   7.464990   7.615690
angles: 119.347538 119.347547  90.000003
pbc   :       True       True       True
Sites (10)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Cs    0.75      0.25       0.5             -0
  1  Cs    0.25      0.75       0.5             -0
  2  Au    0.5       0.5        0                0
  3  Au    0         0          0               -0
  4  Cl    0.290079  0.290079   0.580157        -0
  5  Cl    0.709921  0.709921   0.419843        -0
  6  Cl    0.778564  0.778564   0               -0
  7  Cl    0.221436  0.778564   0               -0
  8  Cl    0.221436  0.221436  -0               -0
  9  Cl    0.778564  0.221436  -0               -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.85,3130,1337.58,19.3,196.9665,222.74,890.1,12.36,324.43,2.54,79,6,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Cs,Au,Cl
mp-28453,CsAuI3,Tetragonal,-0.654490715,0.7337,-0.978146964,"Full Formula (Cs2 Au2 I6)
Reduced Formula: CsAuI3
abc   :   8.393817   8.393816   8.526452
angles: 119.486741 119.486745  89.999996
pbc   :       True       True       True
Sites (10)
  #  SP            a         b          c    magmom
---  ----  ---------  --------  ---------  --------
  0  Cs     0.25      0.75       0.5              0
  1  Cs     0.75      0.25       0.5              0
  2  Au     0.5       0.5       -0                0
  3  Au    -0         0         -0               -0
  4  I      0.77428   0.77428    0                0
  5  I      0.712464  0.712464   0.424926        -0
  6  I      0.22572   0.22572   -0                0
  7  I      0.287536  0.287536   0.575074        -0
  8  I      0.22572   0.77428   -0                0
  9  I      0.77428   0.22572    0                0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.85,3130,1337.58,19.3,196.9665,222.74,890.1,12.36,324.43,2.54,79,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,Cs,Au,I
mp-1096925,CsBaI3,Orthorhombic,-0.00194033,3.6259,-1.954706765,"Full Formula (Cs4 Ba4 I12)
Reduced Formula: CsBaI3
abc   :   5.277367  10.580781  18.510717
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP       a         b         c    magmom
---  ----  ----  --------  --------  --------
  0  Cs    0.75  0.583657  0.176294        -0
  1  Cs    0.25  0.416343  0.823705        -0
  2  Cs    0.75  0.083657  0.323705        -0
  3  Cs    0.25  0.916343  0.676295        -0
  4  Ba    0.25  0.674279  0.438511        -0
  5  Ba    0.75  0.325721  0.561489        -0
  6  Ba    0.25  0.174279  0.061489        -0
  7  Ba    0.75  0.825721  0.938511        -0
  8  I     0.75  0.843815  0.511476        -0
  9  I     0.25  0.156185  0.488524        -0
 10  I     0.75  0.343815  0.988524        -0
 11  I     0.25  0.656185  0.011476        -0
 12  I     0.25  0.527201  0.60893          0
 13  I     0.75  0.472799  0.39107          0
 14  I     0.25  0.027201  0.89107          0
 15  I     0.75  0.972799  0.10893          0
 16  I     0.25  0.811453  0.274522        -0
 17  I     0.75  0.188547  0.725478        -0
 18  I     0.25  0.311453  0.225478        -0
 19  I     0.75  0.688547  0.774522        -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1.42,2078,1002,3.59,137.33,-52,502.9,8.01,140.2,0.89,56,6,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,Cs,Ba,I
mp-1017555,CsBeF3,Cubic,2.612104607,5.3671,-2.744806804,"Full Formula (Cs1 Be1 F3)
Reduced Formula: CsBeF3
abc   :   4.035341   4.035341   4.035341
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cs    0    0    0          -0
  1  Be    0.5  0.5  0.5        -0
  2  F     0    0.5  0.5         0
  3  F     0.5  0.5  0           0
  4  F     0.5  0    0.5         0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.45,3243,1560,1.85,9.01218,-240,899.4,11.71,297,1.57,4,2,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Cs,Be,F
mp-12262,CsBeF3,Orthorhombic,-0.70065692,6.1183,-3.40735911,"Full Formula (Cs4 Be4 F12)
Reduced Formula: CsBeF3
abc   :   4.844015   6.004172  12.517770
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.241015  0.75      0.605113        -0
  1  Cs    0.741015  0.75      0.894887        -0
  2  Cs    0.758985  0.25      0.394887        -0
  3  Cs    0.258985  0.25      0.105113        -0
  4  Be    0.808286  0.75      0.179491         0
  5  Be    0.308286  0.75      0.320508         0
  6  Be    0.191714  0.25      0.820508         0
  7  Be    0.691714  0.25      0.679492         0
  8  F     0.871594  0.25      0.785831        -0
  9  F     0.371594  0.25      0.714169        -0
 10  F     0.128406  0.75      0.214169        -0
 11  F     0.628406  0.75      0.285831        -0
 12  F     0.245437  0.036985  0.882693        -0
 13  F     0.745437  0.463015  0.617307        -0
 14  F     0.754563  0.536985  0.117307        -0
 15  F     0.254563  0.963015  0.382693        -0
 16  F     0.754563  0.963015  0.117307        -0
 17  F     0.254563  0.536985  0.382693        -0
 18  F     0.245437  0.463015  0.882693        -0
 19  F     0.745437  0.036985  0.617307        -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,0.45,3243,1560,1.85,9.01218,-240,899.4,11.71,297,1.57,4,2,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Cs,Be,F
mp-30056,CsCaBr3,Cubic,-0.303762505,4.3923,-2.314779092,"Full Formula (Cs1 Ca1 Br3)
Reduced Formula: CsCaBr3
abc   :   5.708666   5.708666   5.708666
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a     b     c    magmom
---  ----  ---  ----  ----  --------
  0  Cs    0     0     0           0
  1  Ca    0.5   0.5   0.5         0
  2  Br    0.5  -0     0.5        -0
  3  Br    0     0.5   0.5        -0
  4  Br    0.5   0.5  -0          -0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.96,331.85,265.95,3.12,79.904,324.6,1139.9,5.286,14.725,2.96,35,4,Cs,Ca,Br
mp-1097916,CsCaCl3,Cubic,-0.386444137,5.3331,-2.536158057,"Full Formula (Cs1 Ca1 Cl3)
Reduced Formula: CsCaCl3
abc   :   5.420259   5.417338   5.416346
angles:  90.005702  89.976783  90.013057
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.000341  0.009247  0.001986        -0
  1  Ca    0.499932  0.512326  0.501737         0
  2  Cl    0.999911  0.513926  0.504667        -0
  3  Cl    0.498187  0.012159  0.499833         0
  4  Cl    0.501628  0.512346  0.001779         0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Cs,Ca,Cl
mp-1206863,CsCaCl3,Tetragonal,-0.387002797,5.3402,-2.536269789,"Full Formula (Cs2 Ca2 Cl6)
Reduced Formula: CsCaCl3
abc   :   7.667755   7.667755   7.667755
angles: 120.356495 120.356495  89.383634
pbc   :       True       True       True
Sites (10)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Cs    0.75       0.25       0.5              0
  1  Cs    0.25       0.75       0.5              0
  2  Ca    0         -0         -0                0
  3  Ca    0.5        0.5       -0                0
  4  Cl    0.724047   0.224047   0.948092        -0
  5  Cl    0.275953   0.775953   0.051908        -0
  6  Cl    0.224047   0.275953   0.5             -0
  7  Cl    0.775953   0.724047   0.5             -0
  8  Cl    0.25       0.25      -0                0
  9  Cl    0.75       0.75      -0                0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.81,239.18,172.17,3.214,35.4527,348.8,1251.1,3.21,10.2,3.16,17,3,Cs,Ca,Cl
mp-7104,CsCaF3,Cubic,-0.24584609,6.9005,-3.719104391,"Full Formula (Cs1 Ca1 F3)
Reduced Formula: CsCaF3
abc   :   4.520531   4.520531   4.520531
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP       a    b    c    magmom
---  ----  ----  ---  ---  --------
  0  Cs    -0    0    0           0
  1  Ca     0.5  0.5  0.5        -0
  2  F      0    0.5  0.5         0
  3  F      0.5  0    0.5         0
  4  F      0.5  0.5  0           0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,1.33,85,53.55,1.696,18.9984,328,1681,0.26,3.2698,3.98,9,2,Cs,Ca,F
mp-998333,CsCaI3,Monoclinic,0.189129407,3.7149,-1.822716747,"Full Formula (Cs1 Ca1 I3)
Reduced Formula: CsCaI3
abc   :   6.234633   6.234633   6.231499
angles:  89.992614  89.992614  89.997609
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.000171  0.000171  0.99798         -0
  1  Ca    0.505202  0.505202  0.482575        -0
  2  I     0.503799  0.001109  0.486832         0
  3  I     0.492636  0.492636  0.98367          0
  4  I     0.001109  0.503799  0.486832         0",1.74,944,301.54,1.87,132.9054,45.49,375.7,2.092,67.74,0.79,55,6,1,1757,1112,1.55,40.078,-156,589.8,8.53,154.67,1,20,4,2.2,457.5,386.7,4.93,126.9045,295.3,1008.4,7.76,20.9,2.66,53,5,Cs,Ca,I
